# t	yd	y_sensor	y_obs	dy_obs	ie	u	R_est
0.0000	0.005000	0.005914	0.005000	0.000000	0.0244	6.9487	14.7700
0.0100	0.005000	0.005865	0.003920	-0.010800	0.1444	9.8600	14.7700
0.0200	0.005000	0.005718	0.003148	-0.017444	0.4288	0.0000	14.7700
0.0300	0.005000	0.005572	0.003148	-0.015700	0.1688	9.8600	14.7700
0.0400	0.005000	0.005327	0.002588	-0.019727	0.3710	0.0000	14.7700
0.0500	0.005000	0.005181	0.002588	-0.017754	0.1488	9.8600	14.7700
0.0600	0.005000	0.004936	0.002325	-0.018605	0.3488	0.0000	14.7700
0.0700	0.005000	0.004839	0.002325	-0.016745	0.1400	9.8600	14.7700
0.0800	0.005000	0.004594	0.002214	-0.016187	0.3466	0.0000	14.7700
0.0900	0.005000	0.004497	0.002214	-0.014568	0.1400	9.8600	14.7700
0.1000	0.005000	0.004350	0.002240	-0.012849	0.3466	0.0000	14.7700
0.1100	0.005000	0.004350	0.002240	-0.011564	0.1422	9.8600	14.7700
0.1200	0.005000	0.004301	0.002370	-0.009110	0.3466	0.0000	14.7700
0.1300	0.005000	0.004350	0.002370	-0.008199	0.1400	9.8600	14.7700
0.1400	0.005000	0.004350	0.002581	-0.005269	0.3488	0.0000	14.7700
0.1500	0.005000	0.004497	0.002581	-0.004742	0.1400	9.8600	14.7700
0.1600	0.005000	0.004643	0.002735	-0.002728	0.3466	0.0000	14.7700
0.1700	0.005000	0.004839	0.002735	-0.002455	0.1422	9.8600	14.7700
0.1800	0.005000	0.005034	0.002849	-0.001063	0.3466	0.0000	14.7700
0.1900	0.005000	0.005376	0.002849	-0.000957	0.1444	9.8600	15.3111
0.2000	0.005000	0.005572	0.002943	0.000074	0.3532	0.0000	15.3110
0.2100	0.005000	0.005914	0.002943	0.000067	0.1444	9.8600	15.3109
0.2200	0.005000	0.006256	0.003018	0.000811	0.3510	0.0000	15.3108
0.2300	0.005000	0.006598	0.003018	0.000730	0.1488	9.8600	15.3107
0.2400	0.005000	0.006940	0.003077	0.001245	0.3510	0.0000	15.3106
0.2500	0.005000	0.007283	0.003077	0.001121	0.1466	9.8600	15.3105
0.2600	0.005000	0.007429	0.003131	0.001554	0.3555	0.0000	15.3104
0.2700	0.005000	0.007625	0.003131	0.001398	0.1444	9.8600	15.3102
0.2800	0.005000	0.007674	0.003180	0.001745	0.3532	0.0000	15.3101
0.2900	0.005000	0.007722	0.003180	0.001571	0.1466	9.8600	15.7748
0.3000	0.005000	0.007625	0.003216	0.001778	0.3532	0.0000	15.7746
0.3100	0.005000	0.007527	0.003216	0.001600	0.1488	9.8600	15.7744
0.3200	0.005000	0.007283	0.003241	0.001687	0.3488	0.0000	15.7742
0.3300	0.005000	0.007038	0.003241	0.001518	0.1422	9.8600	15.7740
0.3400	0.005000	0.006696	0.003259	0.001551	0.3510	0.0000	15.7738
0.3500	0.005000	0.006452	0.003259	0.001396	0.1444	9.8600	15.7736
0.3600	0.005000	0.006109	0.003268	0.001342	0.3510	0.0000	15.7734
0.3700	0.005000	0.005816	0.003268	0.001208	0.1400	9.8600	15.7732
0.3800	0.005000	0.005474	0.003269	0.001099	0.3488	0.0000	15.7730
0.3900	0.005000	0.005181	0.003269	0.000989	0.1422	9.8600	16.1875
0.4000	0.005000	0.004741	0.003268	0.000873	0.3510	0.0000	16.1872
0.4100	0.005000	0.004399	0.003268	0.000786	0.1400	9.8600	16.1869
0.4200	0.005000	0.004008	0.003264	0.000668	0.3466	0.0000	16.1866
0.4300	0.005000	0.003715	0.003264	0.000602	0.1400	9.8600	16.1863
0.4400	0.005000	0.003324	0.003255	0.000460	0.3466	0.0000	16.1861
0.4500	0.005000	0.003079	0.003255	0.000414	0.1422	9.8600	16.1858
0.4600	0.005000	0.002737	0.003244	0.000259	0.3466	3.2368	16.1855
0.4700	0.005000	0.002590	0.003138	-0.000828	0.2666	0.0000	16.1852
0.4800	0.005000	0.002395	0.003138	-0.000746	0.0933	9.8600	16.1849
0.4900	0.005000	0.002297	0.003000	-0.002048	0.3021	6.8966	16.5967
0.5000	0.005000	0.002346	0.002977	-0.002078	0.4132	0.0000	16.5963
0.5100	0.005000	0.002248	0.002977	-0.001870	0.1444	0.0000	16.5960
0.5200	0.005000	0.002151	0.002977	-0.001683	0.0533	9.8600	16.5956
0.5300	0.005000	0.002199	0.002861	-0.002668	0.2644	2.2107	16.5952
