# t	yd	y_sensor	y_luenberger	v_luenberger	y_clasico	v_clasico	ie	u
0.0000	0.005000	0.003715	0.003715	0.000000	0.005000	0.000000	0.0200	0.0000
0.0100	0.005000	0.003666	0.003636	0.094734	0.005300	0.030000	0.0200	0.0000
0.0200	0.005000	0.003617	0.004552	0.191341	0.005600	0.030000	0.0200	0.0000
0.0300	0.005000	0.003421	0.004656	0.216851	0.005900	0.030000	0.0200	0.0000
0.0400	0.005000	0.003372	0.004771	0.232605	0.006200	0.030000	0.0200	0.0000
0.0500	0.005000	0.003226	0.004625	0.231637	0.006500	0.030000	0.0200	0.0000
0.0600	0.005000	0.003128	0.004546	0.233745	0.006800	0.030000	0.0200	0.0000
0.0700	0.005000	0.003030	0.004458	0.234620	0.007100	0.030000	0.0200	0.0000
0.0800	0.005000	0.002933	0.004363	0.234923	0.007400	0.030000	0.0178	0.0000
0.0900	0.005000	0.002884	0.004345	0.238157	0.007700	0.030000	0.0178	0.0000
0.1000	0.005000	0.002835	0.004310	0.239436	0.008000	0.030000	0.0178	0.0000
0.1100	0.005000	0.002835	0.004344	0.242945	0.008300	0.030000	0.0178	0.0000
0.1200	0.005000	0.002835	0.004359	0.244298	0.008600	0.030000	0.0178	0.0000
0.1300	0.005000	0.002786	0.004285	0.241572	0.008900	0.030000	0.0178	0.0000
0.1400	0.005000	0.002786	0.004302	0.243553	0.009200	0.030000	0.0178	0.0000
0.1500	0.005000	0.002737	0.004234	0.241326	0.009500	0.030000	0.0178	0.0000
0.1600	0.005000	0.002737	0.004252	0.243437	0.009800	0.030000	0.0200	0.0000
0.1700	0.005000	0.002737	0.004262	0.244387	0.010100	0.030000	0.0178	0.0000
0.1800	0.005000	0.002737	0.004266	0.244666	0.010400	0.030000	0.0200	0.0000
0.1900	0.005000	0.002786	0.004345	0.247886	0.010700	0.030000	0.0178	0.0000
0.2000	0.005000	0.002835	0.004408	0.249192	0.011000	0.030000	0.0178	0.0000
0.2100	0.005000	0.002884	0.004461	0.249590	0.011300	0.030000	0.0178	0.0000
0.2200	0.005000	0.002933	0.004511	0.249657	0.011600	0.030000	0.0200	0.0000
0.2300	0.005000	0.002933	0.004482	0.246518	0.011900	0.030000	0.0200	0.0000
0.2400	0.005000	0.002981	0.004546	0.248387	0.012200	0.030000	0.0200	0.0000
0.2500	0.005000	0.003030	0.004605	0.249263	0.012500	0.030000	0.0200	0.0000
0.2600	0.005000	0.003128	0.004735	0.252670	0.012800	0.030000	0.0200	0.0000
0.2700	0.005000	0.003226	0.004847	0.254004	0.013100	0.030000	0.0200	0.0000
0.2800	0.005000	0.003275	0.004871	0.251281	0.013400	0.030000	0.0200	0.0000
0.2900	0.005000	0.003275	0.004830	0.247014	0.013700	0.030000	0.0200	0.0000
0.3000	0.005000	0.003275	0.004812	0.245415	0.014000	0.030000	0.0200	0.0000
0.3100	0.005000	0.003275	0.004806	0.244944	0.014300	0.030000	0.0200	0.0000
0.3200	0.005000	0.003324	0.004883	0.247948	0.014600	0.030000	0.0200	0.0000
0.3300	0.005000	0.003519	0.005180	0.258555	0.014900	0.030000	0.0200	0.0000
0.3400	0.005000	0.003763	0.005499	0.265818	0.015200	0.030000	0.0200	0.0000
0.3500	0.005000	0.004057	0.005849	0.271443	0.015500	0.030000	0.0200	0.0000
0.3600	0.005000	0.004350	0.006165	0.273419	0.015800	0.030000	0.0200	0.0000
0.3700	0.005000	0.004545	0.006308	0.267743	0.016100	0.030000	0.0200	0.0000
0.3800	0.005000	0.004741	0.006478	0.265332	0.016400	0.030000	0.0244	0.0000
0.3900	0.005000	0.004839	0.006508	0.258305	0.016700	0.030000	0.0244	0.0000
0.4000	0.005000	0.004936	0.006576	0.255630	0.017000	0.030000	0.0222	0.0000
